Entry_ID,State Patient Number,Date Announced,Age Bracket,Gender,,Detected District,Detected State,State code,Num Cases,Current Status,Contracted from which Patient (Suspected),Notes,Source_1,Source_2,Source_3,Nationality,Type of transmission,Status Change Date,Patient Number
727050,,28/07/2021,,,,,,,,,,,,,,,,,
727051,,28/07/2021,,,,,,,,,,,,,,,,,
727052,,28/07/2021,,,,,,,,,,,,,,,,,
727053,,28/07/2021,,,,,,,,,,,,,,,,,
727054,,28/07/2021,,,,,,,,,,,,,,,,,
727055,,28/07/2021,,,,,,,,,,,,,,,,,
727056,,28/07/2021,,,,,,,,,,,,,,,,,
727057,,28/07/2021,,,,,,,,,,,,,,,,,
727058,,28/07/2021,,,,,,,,,,,,,,,,,
727059,,28/07/2021,,,,,,,,,,,,,,,,,
727060,,28/07/2021,,,,,,,,,,,,,,,,,
727061,,28/07/2021,,,,,,,,,,,,,,,,,
727062,,28/07/2021,,,,,,,,,,,,,,,,,
727063,,28/07/2021,,,,,,,,,,,,,,,,,
727064,,28/07/2021,,,,,,,,,,,,,,,,,
727065,,28/07/2021,,,,,,,,,,,,,,,,,
727066,,28/07/2021,,,,,,,,,,,,,,,,,
727067,,28/07/2021,,,,,,,,,,,,,,,,,
727068,,28/07/2021,,,,,,,,,,,,,,,,,
727069,,28/07/2021,,,,,,,,,,,,,,,,,
727070,,28/07/2021,,,,,,,,,,,,,,,,,
727071,,28/07/2021,,,,,,,,,,,,,,,,,
727072,,28/07/2021,,,,,,,,,,,,,,,,,
